year,precinct,board
2024,11,1
2024,15,1
2024,16,1
2024,18,1
2024,19,1
2024,20,1
2024,22,1
2024,23,1
2024,25,1
2024,32,2
2024,33,2
2024,34,2
2024,38,2
2024,39,2
2024,40,2
2024,41,2
2024,43,2
2024,502,2
2024,61,3
2024,62,3
2024,64,3
2024,65,3
2024,66,3
2024,68,3
2024,70,3
2024,71,4
2024,72,4
2024,73,4
2024,74,4
2024,86,4
2024,88,4
2024,173,4
2024,174,4
2024,175,4
2024,176,5
2024,177,5
2024,178,5
2024,180,5
2024,182,5
2024,183,5
2024,184,5
2024,185,5
2024,188,6
2024,189,6
2024,190,6
2024,191,6
2024,192,6
2024,193,6
2024,194,6
2024,195,6
2024,197,6
2024,78,7
2024,79,7
2024,80,7
2024,172,8
2024,44,9
2024,50,9
2024,51,9
2024,52,9
2024,53,9
2024,81,9
2024,82,9
2024,83,9
2024,84,9
2024,85,9
2024,35,10
2024,45,10
2024,46,10
2024,55,10
2024,69,11
2024,143,11
2024,443,11
2024,457,12
2024,460,12
2024,461,12
2024,462,12
2024,470,12
2024,471,12
2024,472,12
2024,473,12
2024,474,13
2024,475,13
2024,477,13
2024,479,13
2024,480,13
2024,481,13
2024,482,13
2024,483,13
2024,484,13
2024,485,13
2024,447,14
2024,449,14
2024,416,15
2024,418,15
2024,420,15
2024,450,15
2024,422,16
2024,423,16
2024,424,16
2024,425,16
2024,452,16
2024,453,16
2024,417,17
2024,419,17
2024,166,18
2024,405,19
2024,409,19
2024,414,19
2024,415,19
2024,421,19
2024,221,20
2024,222,20
2024,238,20
2024,239,20
2024,259,20
2024,260,20
2024,14,21
2024,49,21
2024,90,22
2024,100,22
2024,161,22
2024,162,22
2024,167,22
2024,168,22
2024,169,22
2024,437,22
2024,438,22
2024,442,22
2024,446,22
2024,448,22
2024,10,23
2024,12,23
2024,101,23
2024,102,23
2024,111,23
2024,75,24
2024,77,24
2024,89,24
2024,91,24
2024,92,24
2024,93,24
2024,94,24
2024,95,24
2024,97,24
2024,98,24
2024,103,24
2024,105,24
2024,107,24
2024,491,24
2024,36,25
2024,47,25
2024,56,25
2024,158,26
2024,159,26
2024,220,26
2024,432,26
2024,433,26
2024,434,26
2024,436,26
2024,439,26
2024,198,27
2024,199,27
2024,200,27
2024,201,27
2024,203,27
2024,204,28
2024,207,28
2024,208,28
2024,209,28
2024,210,28
2024,211,28
2024,212,29
2024,215,29
2024,216,29
2024,217,29
2024,218,29
2024,219,29
2024,396,29
2024,398,29
2024,399,29
2024,400,29
