year,precinct,board
2024,426,29
2024,428,29
2024,429,29
2024,430,29
2024,435,29
2024,440,29
2024,386,30
2024,387,30
2024,390,30
2024,402,30
2024,490,30
2024,360,31
2024,26,32
2024,5,33
2024,6,33
2024,7,33
2024,8,33
2024,9,33
2024,29,33
2024,121,34
2024,136,34
2024,137,34
2024,138,34
2024,139,34
2024,140,34
2024,146,34
2024,147,34
2024,150,35
2024,151,35
2024,164,35
2024,165,35
2024,441,35
2024,464,35
2024,500,35
2024,27,36
2024,116,36
2024,1,37
2024,2,37
2024,4,37
2024,112,37
2024,115,37
2024,120,37
2024,122,37
2024,123,37
2024,124,38
2024,125,38
2024,126,38
2024,128,38
2024,129,39
2024,130,39
2024,132,39
2024,133,39
2024,134,39
2024,135,39
2024,144,40
2024,145,40
2024,148,40
2024,156,40
2024,157,40
2024,458,40
2024,466,40
2024,493,40
2024,496,40
2024,497,40
2024,59,41
2024,444,42
2024,268,43
2024,279,43
2024,283,43
2024,285,43
2024,297,43
2024,309,43
2024,310,43
2024,278,44
2024,304,44
2024,305,44
2024,306,44
2024,307,44
2024,308,44
2024,495,44
2024,299,45
2024,323,45
2024,324,45
2024,325,45
2024,326,45
2024,349,46
2024,350,46
2024,351,46
2024,352,46
2024,361,46
2024,501,46
2024,261,47
2024,263,47
2024,265,47
2024,267,47
2024,271,47
2024,273,47
2024,275,48
2024,276,48
2024,280,48
2024,281,48
2024,282,48
2024,286,48
2024,287,48
2024,264,49
2024,266,49
2024,269,49
2024,272,49
2024,298,49
2024,300,49
2024,301,49
2024,302,49
2024,337,50
2024,338,50
2024,355,50
2024,376,50
2024,377,50
2024,394,51
2024,395,51
2024,254,52
2024,318,52
2024,319,52
2024,320,52
2024,353,52
2024,393,52
2024,311,53
2024,312,53
2024,315,53
2024,316,53
2024,317,53
2024,328,53
2024,329,53
2024,370,54
2024,371,54
2024,373,54
2024,404,54
2024,406,54
2024,407,54
2024,408,54
2024,410,54
2024,411,54
2024,413,54
2024,330,55
2024,331,55
2024,333,55
2024,334,55
2024,335,55
2024,336,55
2024,339,55
2024,340,55
2024,341,55
2024,342,55
2024,343,56
2024,344,56
2024,345,56
2024,346,56
2024,347,56
2024,348,56
2024,356,56
2024,357,56
2024,359,56
2024,362,57
2024,363,57
2024,364,57
2024,365,57
2024,368,57
2024,369,57
2024,374,57
2024,375,57
2024,378,57
2024,379,57
2024,223,58
2024,224,58
2024,225,58
2024,226,58
2024,227,58
2024,228,59
2024,229,59
2024,230,59
2024,231,59
2024,232,59
2024,233,60
2024,234,60
2024,236,60
2024,240,60
2024,241,60
2024,242,60
2024,243,60
2024,244,60
2024,246,61
2024,247,61
2024,248,61
2024,256,61
2024,257,61
2024,258,61
2024,291,61
2024,292,61
2024,293,61
2024,251,62
2024,252,62
2024,253,62
2024,288,63
2024,289,63
2024,290,63
2024,294,63
2024,295,63
2024,296,63
2024,313,63
2024,60,64
2024,249,65
2024,250,65
2024,380,65
2024,381,65
2024,383,65
2024,384,65
2024,385,65
2024,389,65
2024,392,65
2024,403,65
