year,precinct,board
2025,50,19
2025,51,19
2025,52,19
2025,53,19
2025,55,19
2025,56,19
2025,101,19
2025,103,19
2025,105,19
2025,111,19
2025,112,19
2025,115,19
2025,116,19
2025,135,19
2025,120,20
2025,122,20
2025,123,20
2025,124,20
2025,125,20
2025,448,20
2025,449,20
2025,126,21
2025,128,21
2025,129,21
2025,130,21
2025,132,21
2025,133,21
2025,134,21
2025,493,21
2025,496,21
2025,136,22
2025,137,22
2025,138,22
2025,139,22
2025,140,22
2025,147,22
2025,156,22
2025,158,22
2025,159,22
2025,450,22
2025,452,22
2025,497,22
2025,161,23
2025,162,23
2025,164,23
2025,165,23
2025,167,23
2025,168,23
2025,169,23
2025,212,23
2025,215,23
2025,216,23
2025,217,23
2025,218,23
2025,219,23
2025,220,24
2025,426,24
2025,428,24
2025,429,24
2025,430,24
2025,432,24
2025,433,24
2025,434,24
2025,435,24
2025,436,24
2025,437,24
2025,438,24
2025,439,24
2025,440,24
2025,441,24
2025,442,24
2025,443,24
2025,446,24
2025,447,24
2025,69,25
2025,143,25
2025,144,25
2025,145,25
2025,146,25
2025,148,25
2025,150,25
2025,151,25
2025,157,25
2025,360,25
2025,416,25
2025,417,25
2025,418,25
2025,419,25
2025,420,25
2025,421,25
2025,422,25
2025,423,25
2025,424,25
2025,425,25
2025,444,25
2025,453,25
2025,457,25
2025,458,26
2025,460,26
2025,461,26
2025,462,26
2025,464,26
2025,466,26
2025,470,26
2025,471,26
2025,472,26
2025,473,26
2025,474,26
2025,475,26
2025,477,26
2025,479,26
2025,480,26
2025,481,26
2025,482,26
2025,483,26
2025,484,26
2025,485,26
2025,500,26
2025,60,27
2025,166,27
2025,330,27
2025,331,27
2025,333,27
2025,334,27
2025,335,27
2025,336,27
2025,337,27
2025,338,27
2025,339,27
2025,340,27
2025,341,27
2025,342,27
2025,343,27
2025,344,27
2025,345,28
2025,346,28
2025,347,28
2025,348,28
2025,349,28
2025,353,28
2025,355,28
2025,356,28
2025,363,28
2025,364,28
2025,365,28
2025,368,28
2025,369,29
2025,370,29
2025,371,29
2025,373,29
2025,374,29
2025,375,29
2025,376,29
2025,377,29
2025,380,29
2025,381,29
2025,392,29
2025,393,29
2025,394,29
2025,395,29
2025,396,29
2025,398,30
2025,399,30
2025,400,30
2025,404,30
2025,405,30
2025,406,30
2025,407,30
2025,408,30
2025,409,30
2025,410,30
2025,411,30
2025,413,30
2025,414,30
2025,415,30
