year,precinct,board
2025,261,1
2025,263,1
2025,264,1
2025,265,1
2025,266,1
2025,267,1
2025,268,1
2025,269,1
2025,271,1
2025,272,1
2025,273,1
2025,275,1
2025,276,1
2025,278,2
2025,279,2
2025,280,2
2025,281,2
2025,282,2
2025,283,2
2025,285,2
2025,286,2
2025,287,2
2025,297,2
2025,298,3
2025,299,3
2025,300,3
2025,301,3
2025,302,3
2025,304,3
2025,305,3
2025,306,3
2025,307,3
2025,308,3
2025,309,3
2025,310,3
2025,311,3
2025,312,3
2025,315,4
2025,316,4
2025,317,4
2025,319,4
2025,320,4
2025,323,4
2025,324,4
2025,325,4
2025,326,4
2025,328,5
2025,329,5
2025,350,5
2025,351,5
2025,352,5
2025,357,5
2025,359,5
2025,361,5
2025,362,5
2025,378,5
2025,379,5
2025,495,5
2025,501,5
2025,200,6
2025,201,6
2025,203,6
2025,204,6
2025,207,6
2025,208,6
2025,209,6
2025,210,7
2025,211,7
2025,221,7
2025,222,7
2025,223,7
2025,224,7
2025,225,7
2025,226,7
2025,227,7
2025,228,7
2025,229,8
2025,230,8
2025,231,8
2025,232,8
2025,233,8
2025,234,8
2025,236,8
2025,238,8
2025,239,8
2025,240,9
2025,241,9
2025,242,9
2025,243,9
2025,244,9
2025,246,9
2025,247,9
2025,248,9
2025,249,9
2025,250,9
2025,251,9
2025,252,9
2025,253,9
2025,254,10
2025,256,10
2025,257,10
2025,258,10
2025,259,10
2025,260,10
2025,288,10
2025,289,10
2025,290,10
2025,291,10
2025,292,10
2025,293,10
2025,294,11
2025,295,11
2025,296,11
2025,313,11
2025,318,11
2025,383,11
2025,384,11
2025,385,11
2025,386,11
2025,387,11
2025,389,11
2025,390,11
2025,402,11
2025,403,11
2025,490,11
2025,59,12
2025,61,12
2025,62,12
2025,64,12
2025,65,12
2025,66,12
2025,68,12
2025,70,12
2025,71,12
2025,72,12
2025,73,12
2025,74,12
2025,75,12
2025,77,13
2025,78,13
2025,79,13
2025,80,13
2025,81,13
2025,82,13
2025,83,13
2025,84,13
2025,85,13
2025,86,13
2025,88,13
2025,89,13
2025,90,13
2025,91,13
2025,92,14
2025,93,14
2025,94,14
2025,95,14
2025,97,14
2025,98,14
2025,100,14
2025,102,14
2025,107,14
2025,121,14
2025,172,14
2025,173,14
2025,174,14
2025,175,14
2025,176,14
2025,177,14
2025,178,14
2025,180,15
2025,182,15
2025,183,15
2025,184,15
2025,185,15
2025,188,15
2025,189,15
2025,190,15
2025,191,15
2025,192,15
2025,193,15
2025,194,15
2025,195,15
2025,197,15
2025,198,15
2025,199,15
2025,1,16
2025,2,16
2025,4,16
2025,5,16
2025,6,16
2025,7,16
2025,8,16
2025,9,16
2025,10,16
2025,11,16
2025,12,16
2025,14,16
2025,491,16
2025,15,17
2025,16,17
2025,18,17
2025,19,17
2025,20,17
2025,22,17
2025,23,17
2025,25,17
2025,26,17
2025,27,17
2025,29,17
2025,32,17
2025,33,17
2025,502,17
2025,34,18
2025,35,18
2025,36,18
2025,38,18
2025,39,18
2025,40,18
2025,41,18
2025,43,18
2025,44,18
2025,45,18
2025,46,18
2025,47,18
2025,49,18
