Precinct,Congressional ,House,Wayne County Commissioner ,Wayne County College District 
145,13,09,8202,03
148,13,09,8202,03
156,13,09,8202,03
157,13,09,8202,03
458,13,09,8202,03
466,13,09,8202,03
493,13,09,8202,03
496,13,09,8202,03
497,13,09,8202,03
CB # 40,,CCB,,
,,,,
059,13,09,8203,
CB # 41,,CCB,,
,,,,
444,13,09,8204,03
CB # 42,,CCB,,
,,,,
268,12,016,8206,
279,12,016,8206,
283,12,016,8206,
285,12,016,8206,
297,12,016,8206,
309,12,016,8206,
310,12,016,8206,
CB # 43,,CCB,,
,,,,
278,12,016,8206,05
304,12,016,8206,05
305,12,016,8206,05
306,12,016,8206,05
307,12,016,8206,05
308,12,016,8206,05
495,12,016,8206,05
CB # 44,,CCB,,
,,,,
299,12,016,8207,05
323,12,016,8207,05
324,12,016,8207,05
325,12,016,8207,05
326,12,016,8207,05
CB # 45,,CCB,,
,,,,
349,12,016,8207,05
350,12,016,8207,05
351,12,016,8207,05
352,12,016,8207,05
361,12,016,8207,05
501,12,016,8207,05
CB # 46,,CCB,,
,,,,
261,12,017,8206,
263,12,017,8206,
265,12,017,8206,
267,12,017,8206,
271,12,017,8206,
273,12,017,8206,
CB # 47,,CCB,,
,,,,
275,12,017,8206,
276,12,017,8206,
280,12,017,8206,
281,12,017,8206,
282,12,017,8206,
286,12,017,8206,
287,12,017,8206,
CB # 48,,CCB,,
,,,,
264,12,017,8206,05
266,12,017,8206,05
269,12,017,8206,05
272,12,017,8206,05
298,12,017,8206,05
300,12,017,8206,05
301,12,017,8206,05
302,12,017,8206,05
CB # 49,,CCB,,
,,,,
337,12,03,8207,05
338,12,03,8207,05
355,12,03,8207,05
376,12,03,8207,05
377,12,03,8207,05
CB #50,,CCB,,
,,,,
394,12,04,8205,
395,12,04,8205,
CB # 51,,CCB,,
,,,,
254,12,04,8205,05
318,12,04,8205,05
319,12,04,8205,05
320,12,04,8205,05
353,12,04,8205,05
393,12,04,8205,05
CB # 52,,CCB,,
,,,,
311,12,04,8206,05
312,12,04,8206,05
315,12,04,8206,05
316,12,04,8206,05
317,12,04,8206,05
328,12,04,8206,05
329,12,04,8206,05
CB # 53,,CCB,,
,,,,
370,12,04,8207,
371,12,04,8207,
373,12,04,8207,
404,12,04,8207,
406,12,04,8207,
407,12,04,8207,
408,12,04,8207,
410,12,04,8207,
411,12,04,8207,
413,12,04,8207,
CB # 54,,CCB,,
,,,,
330,12,04,8207,05
331,12,04,8207,05
333,12,04,8207,05
334,12,04,8207,05
335,12,04,8207,05
336,12,04,8207,05
339,12,04,8207,05
340,12,04,8207,05
341,12,04,8207,05
342,12,04,8207,05
CB # 55,,CCB,,
,,,,
343,12,04,8207,05
344,12,04,8207,05
345,12,04,8207,05
346,12,04,8207,05
347,12,04,8207,05
348,12,04,8207,05
356,12,04,8207,05
357,12,04,8207,05
359,12,04,8207,05
CB # 56,,CCB,,
,,,,
362,12,04,8207,05
363,12,04,8207,05
364,12,04,8207,05
365,12,04,8207,05
368,12,04,8207,05
369,12,04,8207,05
374,12,04,8207,05
375,12,04,8207,05
378,12,04,8207,05
379,12,04,8207,05
CB # 57,,CCB,,
,,,,
223,12,05,8205,
224,12,05,8205,
225,12,05,8205,
226,12,05,8205,
227,12,05,8205,
CB # 58,,CCB,,
,,,,
228,12,05,8205,
229,12,05,8205,
230,12,05,8205,
231,12,05,8205,
232,12,05,8205,
CB # 59,,CCB,,
,,,,
233,12,05,8205,
234,12,05,8205,
236,12,05,8205,
240,12,05,8205,
241,12,05,8205,
242,12,05,8205,
243,12,05,8205,
244,12,05,8205,
CB # 60,,CCB,,
,,,,
246,12,05,8205,
247,12,05,8205,
248,12,05,8205,
256,12,05,8205,
257,12,05,8205,
258,12,05,8205,
291,12,05,8205,
292,12,05,8205,
293,12,05,8205,
CB # 61,,CCB,,
,,,,
251,12,05,8205,05
252,12,05,8205,05
253,12,05,8205,05
CB # 62,,CCB,,
,,,,
288,12,05,8206,
289,12,05,8206,
290,12,05,8206,
294,12,05,8206,
295,12,05,8206,
296,12,05,8206,
313,12,05,8206,
CB #63,,CCB,,
,,,,
060,12,08,8205,
CB # 64,,CCB,,
,,,,
249,12,08,8205,05
250,12,08,8205,05
380,12,08,8205,05
381,12,08,8205,05
383,12,08,8205,05
384,12,08,8205,05
385,12,08,8205,05
389,12,08,8205,05
392,12,08,8205,05
403,12,08,8205,05
CB # 65,,CCB,,
